ODP846 Alkenone SST 
Depth            Age        SST 
23.5         628.885       21.4
23.59        630.630       21.2
23.69        632.569       21.3
23.7         632.763       21.3
23.8         634.702       21.3
23.91        636.834       21.4
24.01        638.773       21.5
24.11        640.712       21.5
24.21        642.683       21.5
24.31        645.268       21.7
24.4         647.595       21.5
24.5         650.800       22.1
24.59        653.708       21.8
24.69        656.939       22.2
24.79        660.171       22.6
24.8         660.494       22.6
24.81        660.817       22.1
24.86        662.433       22.2
24.87        662.756       22.1
24.92        664.372       22.4
24.99        666.633       22.5
25.05        668.572       22.3
25.07        669.219       22.7
25.17        672.450         23
25.18        672.773       22.7
25.27        676.132       22.9
25.28        676.519       22.9
25.34        678.846       23.1
25.37        680.009       23.5
25.41        681.560         23
25.44        682.723       23.2
25.45        683.111       23.1
25.47        683.886       23.1
25.51        685.437       23.5
25.52        685.825       23.6
25.57        687.764       23.3
25.67        691.950       23.3
25.77        696.258       23.4
25.78        696.689       23.7
25.87        700.566       23.5
25.98        705.305       23.4
26.22        715.539       22.2
26.31        719.029       21.8
26.37        721.355         22
26.42        723.294       21.8
26.47        725.233       22.9
26.55        728.335       22.7
26.69        731.896         23
27.05        738.876       22.4
27.06        739.070       22.6
27.26        742.947       22.5
27.35        744.692       22.4
27.42        746.244       22.6
27.47        747.537       21.4
27.54        749.347       21.1
27.62        751.415       21.2
27.71        753.741       21.2
27.72        753.999       21.2
27.83        756.843       21.4
27.96        760.204       21.8
28.07        763.047       22.4
28.17        765.631       22.8
28.27        768.217         23
28.37        770.803       22.6
28.46        773.129         23
28.56        775.713       23.4
28.66        778.298       22.5
28.76        780.884       23.2
28.87        783.727       23.7
28.88        783.985       23.6
28.97        786.311       22.8
29.06        788.638         22
29.16        791.224       21.2
29.25        793.550       20.8
29.35        796.134       20.1
29.46        798.978       20.3
29.57        801.823       20.5
29.67        804.407       20.6
29.76        806.733       21.2
29.85        809.060       21.6
29.95        811.646       21.7
30.06        814.489         22
30.16        817.073       22.1
30.26        819.659       22.4
30.36        822.245       22.7
30.45        824.571       22.8
30.56        827.413       22.5
30.57        827.672       22.5
30.76        832.585       22.2
30.86        835.169       22.3
30.96        837.753       21.9
31.06        840.339       22.5
31.16        842.925       22.7
31.26        845.509       23.2
31.36        848.093       23.1
31.47        851.791       22.6
31.57        855.238       23.6
31.66        858.340         24
31.76        861.787       24.3
31.87        865.579         24
31.88        865.924       23.9
32           869.577       22.1
32.13        872.098       21.7
32.14        872.292       21.8
32.15        872.486       21.8
32.3         875.394       21.2
32.44        878.108       21.5
32.55        880.241       21.5
32.64        881.986       21.5
32.72        883.537       21.7
32.8         885.551       21.5
32.89        888.459       21.4
33           892.013       21.5
33.24        899.768       21.6
33.31        902.030         22
33.37        903.969       22.2
33.41        905.261         22
33.46        906.877       21.9
33.51        908.492       22.6
33.58        910.628       22.5
33.68        913.212       22.5
33.89        917.966       21.7
34.12        922.722       20.9
34.13        922.929       20.9
34.25        925.411       20.5
34.33        927.065       20.8
34.38        928.099       20.8
34.41        928.720       21.7
34.51        930.788       22.2
34.52        930.994       21.8
34.65        933.683       22.2
34.75        935.751       22.2
34.86        938.570         23
34.96        941.194       23.3
35.07        944.749       23.4
35.17        947.980         24
35.27        951.211       24.6
35.28        951.534       24.6
35.37        954.442       24.4
35.46        957.350         25
35.56        960.582       23.6
35.66        963.813       22.9
35.76        967.109       23.2
35.86        970.986         23
35.96        974.864       23.2
35.97        975.252         23
36.06        978.742       22.6
36.16        982.671       22.7
36.26        986.980       22.6
36.36        991.290       22.6
36.46        995.599       22.8
36.47        996.030       22.7
36.48        996.461         23
36.55        999.478       23.1
36.56        999.909       23.1
36.57       1000.340       23.2
36.65       1003.787       23.3
36.66       1004.218       23.2
36.74       1007.666       22.4
36.76       1008.527       22.4
36.85       1012.403       22.5
36.86       1012.834       22.3
36.94       1016.280       22.7
37.04       1020.586       23.4
37.14       1024.893       23.4
37.24       1029.200       23.4
37.34       1033.507       23.4
37.44       1036.764       23.4
37.53       1039.672       23.5
37.63       1042.904       23.2
37.73       1046.136       23.3
37.74       1046.459       23.2
37.83       1049.367       22.5
37.92       1052.276       22.6
38.02       1055.507       21.4
38.12       1058.739       21.6
38.22       1061.447       21.3
38.32       1064.035       21.3
38.42       1065.910         22
38.52       1067.633       22.9
38.62       1069.356       23.6
38.71       1070.907       24.2
38.81       1072.630       24.3
