ODP846 Alkenone SST 
Depth            Age        SST 
92.73       2421.902       24.5
92.83       2423.969       23.6
92.93       2426.037       22.6
93.03       2428.105       22.8
93.14       2430.380       22.8
93.24       2432.448       23.3
93.34       2434.851       22.9
93.44       2437.438       22.8
93.54       2440.025       22.8
93.64       2442.613       22.7
93.73       2444.648       22.9
93.83       2446.716       23.1
93.93       2448.784       23.3
94.03       2450.851       23.7
94.12       2452.712       23.9
94.22       2454.780       23.8
94.32       2456.848       24.2
94.42       2458.916       23.8
94.53       2461.190         25
94.63       2463.258         25
94.73       2466.169       25.2
94.84       2469.961       25.3
94.94       2473.407       25.2
95.04       2476.854       24.8
95.14       2480.301       24.8
95.24       2483.747       24.7
95.33       2485.883       24.4
95.43       2487.822       24.2
95.52       2489.568       24.1
95.61       2491.313       24.2
95.704      2493.136       23.6
95.797      2494.939       23.8
95.891      2496.762       24.1
95.984      2498.565       24.5
96.078      2500.490       24.9
96.15       2502.349       25.5
96.172      2502.917       25.3
96.25       2504.931       25.5
96.266      2505.344       25.2
96.35       2507.518       25.1
96.359      2507.751       24.5
96.45       2510.106       24.6
96.454      2510.210         23
96.547      2512.611       23.4
96.55       2512.688       22.9
96.64       2515.012       22.9
96.65       2515.270       23.1
96.74       2517.179       23.2
96.75       2517.386       23.2
96.84       2519.247       23.5
96.87       2519.867       23.1
96.94       2521.315       23.4
96.98       2522.142       23.3
97.04       2523.383       23.5
97.08       2524.210       23.5
97.17       2526.071       23.8
97.27       2528.139       23.4
97.36       2530.000       23.2
97.46       2532.068         23
97.57       2534.343       23.6
97.69       2537.008         24
97.79       2539.595       23.9
97.89       2542.182       24.3
97.98       2544.511       24.6
98.08       2547.097       24.6
98.2        2550.195       25.1
98.33       2553.556       25.5
98.49       2557.493       25.3
98.73       2562.455       25.4
98.83       2564.523       25.4
98.93       2566.591       25.2
99.03       2568.658       24.8
99.13       2570.726       24.8
99.23       2572.794         25
99.33       2574.861       24.8
99.43       2576.929       25.1
99.53       2578.563       25.2
99.63       2580.113       25.4
99.73       2581.664       25.5
99.83       2583.215       25.6
99.93       2584.766       25.4
100.03      2586.316       25.8
100.13      2587.867       25.9
100.23      2589.418       26.1
100.33      2590.969       26.1
100.43      2592.519       25.9
100.53      2594.071       25.5
100.63      2595.623       25.5
100.73      2597.175       25.4
100.83      2598.726       25.3
100.93      2600.278         25
101.03      2601.830       24.4
101.13      2603.382       24.2
101.23      2604.933       23.8
101.33      2606.485       23.8
101.43      2608.037       23.8
101.53      2610.072       24.5
101.63      2612.139       25.3
101.73      2614.205       25.4
101.83      2616.271       24.8
101.93      2618.337       24.9
102.03      2620.404       24.7
102.13      2622.470       24.8
102.23      2624.536       25.3
102.33      2626.602       25.2
102.43      2628.669       25.2
102.53      2631.246       24.9
102.63      2633.834       24.9
102.73      2636.417       24.5
102.83      2639.000       24.3
102.93      2641.588       24.2
103.03      2644.176       23.8
103.13      2646.759         24
103.23      2649.342       24.3
103.33      2651.930       24.5
103.43      2654.518       24.5
103.53      2657.106       25.1
103.63      2659.693       25.4
103.73      2662.276       25.5
103.83      2664.859       25.5
103.93      2667.447       25.6
104.03      2669.996       25.1
104.13      2671.935       25.3
104.23      2673.873         26
104.33      2675.812       25.8
104.43      2677.750       25.6
104.53      2679.689       25.4
104.63      2681.627       25.2
104.73      2683.565       25.1
104.83      2685.482       25.2
104.93      2687.206       25.2
105.03      2688.930       25.3
105.13      2690.653       24.9
105.23      2692.377       24.9
105.33      2694.100         25
105.43      2695.802       24.9
105.53      2697.352       24.5
105.63      2698.902       24.1
105.73      2700.452       23.9
105.83      2702.002       23.7
105.92      2703.398       24.1
106.02      2704.948         24
106.12      2706.498       23.9
106.23      2708.203       23.1
106.33      2709.753       23.5
106.43      2711.304       23.4
106.53      2712.856       23.6
106.64      2714.562       23.8
106.74      2716.114         24
106.83      2717.511         24
106.93      2719.063         24
107.02      2720.459       24.1
107.11      2721.856       24.1
107.19      2723.097       24.2
107.28      2724.494       24.5
107.36      2725.735       24.6
107.45      2727.565       24.3
107.54      2729.889       24.6
107.63      2731.918       24.7
107.73      2733.212       25.1
107.83      2734.506       25.1
107.93      2735.800       25.7
108.05      2738.321       25.8
108.17      2742.458       25.9
108.18      2742.803       26.2
108.28      2746.250       26.2
108.3       2746.939       25.9
108.38      2749.697       26.3
108.48      2753.144       26.3
108.58      2756.592       26.1
108.69      2759.057       26.3
108.79      2760.997       26.1
108.88      2762.742       26.2
108.98      2764.682         26
109.09      2766.816       25.9
109.18      2768.561       25.9
109.28      2770.501       25.7
109.38      2772.441       25.6
109.48      2774.484       25.6
109.49      2774.691       25.5
109.58      2776.551       25.4
109.59      2776.757       25.5
109.66      2778.204       25.7
109.68      2778.617       25.6
109.74      2779.857       25.7
109.78      2780.683       25.7
109.82      2781.510       25.4
109.88      2782.749       25.6
109.9       2783.163       25.5
110         2785.229       25.8
110.12      2787.708       25.8
110.28      2791.014       25.7
110.46      2795.075       25.1
110.6       2798.691       25.1
110.69      2801.020       24.7
110.77      2803.091       24.9
110.83      2804.642         25
110.88      2805.933         25
110.94      2807.483       25.2
110.99      2808.774       25.5
111.05      2810.327       25.7
111.14      2812.656       25.9
111.23      2814.985         26
111.34      2817.832       26.1
111.45      2820.676       26.1
111.65      2825.845       26.3
111.74      2828.174       26.3
111.83      2830.501       26.3
111.92      2832.825       25.8
112.02      2835.410       25.6
112.12      2837.998       25.7
112.23      2840.842       25.3
112.34      2843.684       25.3
112.44      2845.979       25.3
112.53      2847.841       25.2
112.63      2849.911       25.1
112.72      2851.773       25.1
112.82      2853.842       25.4
112.93      2856.119       25.3
113.04      2858.395       25.5
113.15      2860.671       25.3
113.25      2862.741       25.8
113.35      2864.810       25.8
113.45      2866.510         26
113.54      2867.904       26.1
113.63      2869.298       26.1
113.73      2870.848       25.7
113.82      2872.242       25.7
113.92      2873.791       25.2
114.02      2875.340       25.1
114.13      2877.044       24.8
114.23      2878.594       24.9
114.33      2880.143       25.1
114.43      2881.978       25.1
114.54      2884.253       25.1
114.64      2886.321       25.4
114.74      2888.389       26.1
114.84      2890.458       25.8
114.94      2892.526       25.7
115.03      2894.388         26
115.13      2896.456       26.4
115.23      2898.524       25.9
115.33      2900.593       25.5
115.43      2902.584       25.2
115.53      2904.524       25.2
115.64      2906.657       25.3
115.74      2908.597         25
115.83      2910.343         25
115.93      2912.282       24.4
116.02      2914.028       24.3
116.12      2915.968       23.9
116.22      2917.907       24.5
116.33      2920.041       24.5
116.43      2921.981       23.5
116.53      2923.921       23.5
116.62      2925.666       23.6
116.71      2927.412       23.8
116.79      2928.964       23.9
116.87      2930.515       24.1
116.96      2932.261       24.7
117.06      2934.831       25.3
117.2       2938.449       25.5
117.36      2942.590       25.8
117.55      2947.473         26
117.69      2952.773       26.1
117.79      2956.653         26
117.87      2959.756       26.1
117.93      2962.084       25.7
117.94      2962.472       25.5
117.99      2963.667       25.8
118.03      2964.287       25.8
118.04      2964.442       25.7
118.13      2965.839       25.6
118.2       2966.925       25.9
118.23      2967.391       25.7
118.3       2968.477       25.8
118.33      2968.943       25.4
118.39      2969.874       25.5
118.43      2970.494       25.1
118.53      2972.046       24.7
118.63      2973.598       24.4
118.73      2975.150       24.6
118.83      2976.701       24.8
118.93      2978.253       25.2
119.03      2979.937       25.6
119.13      2981.661       25.1
119.23      2983.384       25.3
119.33      2985.108       25.3
119.43      2986.832       25.9
119.53      2988.555       25.8
119.63      2990.966       25.1
119.73      2993.549       24.8
119.83      2996.136       24.7
119.88      2997.430       25.5
119.93      2998.724       24.8
119.98      2999.852       24.8
120.03      3000.886       24.7
120.08      3001.920       24.7
120.13      3002.954       24.9
120.16      3003.575       24.8
120.23      3005.023       24.8
120.24      3005.230       24.8
120.33      3007.091       24.6
120.42      3008.953       24.5
120.43      3009.159       24.5
120.52      3011.021       24.5
120.53      3011.228       24.6
120.62      3013.089       24.5
120.73      3015.364       24.6
120.83      3017.433       24.7
120.93      3019.501       24.8
121.03      3022.022       24.8
121.13      3024.609       25.1
121.23      3026.738       24.9
121.33      3028.805         25
121.43      3030.871       25.3
121.53      3032.937       25.5
121.63      3035.003       25.1
121.73      3037.070         25
121.83      3039.136       24.7
121.93      3041.202       24.6
122.03      3043.268       24.8
122.12      3045.128       25.1
122.22      3047.618         25
122.32      3050.201       25.3
122.42      3052.357       25.1
122.53      3054.632       25.5
122.63      3056.700       25.7
122.73      3058.769       25.7
122.83      3060.837       25.6
122.93      3062.905       25.3
123.03      3064.974       25.4
123.13      3067.042       25.2
123.23      3069.110       25.6
123.33      3071.179       25.9
123.43      3074.388       26.2
123.53      3077.620       26.3
123.63      3080.853       26.5
123.73      3084.085       26.4
123.83      3087.317       26.4
123.93      3090.550       26.4
124.03      3093.782       26.3
124.13      3097.002       26.2
124.23      3099.590       26.2
124.33      3102.177       26.2
124.43      3104.760       26.2
124.53      3107.344       26.2
124.63      3109.931       26.5
124.73      3112.493       26.2
124.83      3114.560       26.3
124.93      3116.626         26
125.03      3118.692       25.9
125.13      3120.758       25.9
125.23      3122.825       25.6
125.33      3124.891       25.9
125.43      3126.957       25.8
125.53      3129.023       25.6
125.63      3131.090       25.3
125.73      3133.125       25.1
125.83      3134.849       24.9
125.93      3136.572       24.9
126.03      3138.296         25
126.13      3140.020       25.5
126.23      3141.743       26.1
126.33      3144.036       26.6
126.43      3150.501       26.6
126.53      3156.965       26.8
126.63      3163.430       26.3
126.73      3169.262       25.7
126.83      3171.201       25.3
126.93      3173.141       25.3
127.03      3175.081       25.5
127.14      3177.214       25.3
127.34      3181.094       24.9
127.44      3183.033       25.1
127.53      3185.012       25.3
127.63      3188.243       25.8
127.73      3191.474       25.8
127.85      3195.351       25.8
127.98      3199.552       25.8
128.14      3204.722       25.9
128.31      3210.202       25.7
128.44      3213.566         26
128.55      3216.411       25.7
128.64      3218.735       25.3
128.73      3221.215       25.3
128.8       3223.475       24.8
128.83      3224.443       25.4
128.9       3226.703         25
128.94      3227.994       25.3
128.99      3229.609       25.1
129.04      3231.223       25.2
129.05      3231.546         25
129.07      3232.191       25.1
129.13      3234.128       25.2
129.16      3235.097       25.2
129.27      3238.648         25
129.38      3242.199       25.2
129.49      3245.750       24.9
129.6       3249.514       24.7
129.69      3252.616       25.1
129.78      3255.719       24.8
129.87      3258.821         25
129.97      3262.269       25.1
130.08      3266.061         25
130.18      3270.198       25.3
130.29      3274.939       25.3
130.38      3278.818       25.2
130.43      3280.973       24.8
130.47      3282.697       24.9
130.53      3285.282       25.4
130.57      3287.006       24.6
130.63      3289.592       24.7
130.67      3291.316       24.8
130.73      3293.334       25.3
130.77      3294.369       24.9
130.83      3295.922       25.3
130.87      3296.957       25.2
130.93      3298.508       25.4
130.97      3299.541       25.5
131.03      3301.091       25.2
131.13      3303.977       25.1
131.23      3307.424         25
131.33      3310.871         25
131.43      3314.318       24.6
131.53      3317.765       24.6
131.63      3321.213       24.1
131.73      3324.136       23.6
131.83      3326.206       23.7
131.93      3328.275         25
132.03      3330.344       25.1
132.13      3332.414       24.8
132.23      3334.483       25.1
132.33      3336.552       25.2
132.43      3338.622       25.3
132.53      3340.691       25.3
132.63      3342.760       25.5
132.73      3345.051       25.4
132.83      3347.634       25.1
132.93      3350.219       24.7
133.03      3352.807       24.7
133.13      3355.392       25.2
133.23      3357.975       25.3
133.33      3360.555       25.5
133.43      3363.130       25.3
133.53      3365.708       25.3
133.63      3368.291       25.3
133.73      3370.876       25.2
133.83      3373.464       24.9
133.93      3375.803       24.8
134.03      3377.871       24.9
134.13      3379.939       25.1
134.23      3382.008       25.4
134.33      3384.076       25.5
134.43      3386.145       25.5
134.53      3388.213       25.4
134.73      3392.350       25.3
134.83      3394.418       25.1
134.93      3396.304       24.9
135.03      3398.027       24.9
135.13      3399.751       24.8
135.23      3401.474       24.9
135.33      3403.198         25
135.43      3404.922       25.4
135.53      3406.766       25.3
135.63      3408.706       25.5
135.73      3410.646       25.6
135.83      3412.585       25.1
135.93      3414.525       24.8
136.13      3418.404       24.2
136.23      3420.344       24.2
136.33      3422.050         24
136.43      3423.601         24
136.53      3425.152       24.5
136.63      3426.703       24.2
136.73      3428.253       24.7
136.83      3429.804       24.8
136.93      3431.355       25.1
137.03      3432.906       25.2
137.13      3434.456       25.3
137.23      3436.007       25.2
137.33      3437.809       25.4
137.43      3439.746       24.8
137.53      3441.684       24.7
137.63      3443.621       24.7
137.73      3445.558       24.6
137.83      3447.496       24.8
137.93      3449.433       25.8
138.03      3451.370       26.1
138.13      3453.750       26.1
138.23      3456.338       26.4
138.33      3458.922       26.4
138.43      3461.505       26.4
138.53      3463.728         26
138.63      3465.796       25.9
138.83      3469.933       26.1
138.93      3472.001       26.1
139.03      3474.070       26.1
139.23      3478.206       26.3
139.33      3480.275       25.8
139.43      3482.343       25.7
139.52      3484.121         26
139.53      3484.315       26.2
139.62      3486.061       25.7
139.63      3486.254       26.2
139.73      3488.194       25.9
139.82      3489.940         25
139.83      3490.134       25.5
139.92      3491.880         25
139.94      3492.268       24.8
140.02      3493.819       26.1
140.04      3494.207       24.8
140.07      3494.789       26.1
140.13      3495.953       26.2
140.21      3497.505       26.4
140.3       3499.568       26.2
140.43      3502.932       26.5
140.53      3505.516       26.2
140.63      3508.099       25.9
140.73      3510.686       25.8
140.82      3513.015       25.8
140.93      3515.858         26
141.04      3518.699       26.2
141.14      3521.287       25.7
141.23      3523.616         26
141.32      3525.932       26.2
141.41      3528.245       26.4
141.51      3531.239       26.5
141.62      3534.794       26.3
141.73      3538.350         26
141.83      3541.582       25.6
141.93      3544.815       25.7
142.03      3548.047       25.8
142.13      3551.280       25.7
142.23      3554.512       25.7
142.33      3557.177       25.3
142.43      3559.765       25.4
142.53      3562.926       25.6
142.63      3566.157       25.6
142.73      3569.388       25.5
142.83      3572.619       25.8
142.93      3575.850       26.1
143.03      3579.082         26
143.13      3582.313       25.9
143.23      3585.544       25.4
143.33      3588.177       25.3
143.43      3590.765       25.6
143.53      3593.958       25.8
143.63      3597.191       25.6
143.73      3600.423       25.8
143.83      3603.656       25.9
143.93      3606.888       26.1
144.03      3610.121       25.9
144.13      3613.353       25.9
144.23      3616.585       25.3
144.33      3620.028         25
144.43      3623.476       24.7
144.53      3626.923       24.7
144.63      3630.370       24.8
144.73      3633.817       25.1
144.83      3637.264       25.7
144.9       3639.673       25.4
145.03      3644.147       25.7
145.13      3647.589         26
145.23      3651.030       26.1
145.33      3654.472         26
145.43      3657.907       25.9
145.53      3661.139       25.9
145.64      3664.695       25.6
145.74      3667.927       25.8
145.86      3671.806       25.3
145.97      3675.362       25.5
146.07      3678.594       25.7
146.18      3682.150       26.4
146.29      3685.705       26.6
146.4       3689.259       26.8
146.51      3692.813       26.4
146.73      3699.922       26.5
146.84      3703.476       26.6
146.95      3707.031       26.6
147.06      3710.321       26.4
147.17      3713.168       26.2
147.28      3716.015         26
147.38      3718.602       26.6
147.47      3721.273         27
147.56      3724.181       27.3
147.66      3727.412       27.1
147.75      3730.320       26.8
147.84      3733.228       26.5
147.93      3736.136       26.8
148.03      3739.367       26.9
148.12      3742.275       26.5
148.21      3745.183       26.1
148.31      3747.790       26.1
148.4       3750.119       26.1
148.49      3752.951       26.3
148.58      3755.860       26.4
148.68      3759.093       26.6
148.77      3762.002       26.8
148.86      3764.911       26.6
148.95      3767.820       26.8
149.05      3771.053       26.7
149.14      3773.962       26.5
149.26      3778.835       26.7
149.38      3785.009       26.7
149.5       3789.423         27
149.64      3793.946       27.1
149.74      3797.177       27.2
149.87      3801.378       26.9
149.99      3805.255       26.5
150.11      3809.133       26.9
150.13      3809.779       27.2
150.23      3813.067       27.1
150.33      3816.516       26.8
150.36      3817.550       27.3
150.43      3819.965       26.3
150.48      3821.689       26.9
150.6       3825.828       26.2
150.63      3826.862       26.1
150.71      3829.621       26.2
150.73      3830.311       26.2
150.81      3833.148       26.2
150.84      3834.440       26.5
150.91      3837.456       26.7
150.95      3839.179       26.8
151.01      3841.764       26.7
151.04      3843.057         27
151.13      3846.934       26.8
151.22      3850.811       26.1
151.33      3855.550       26.6
151.44      3859.567       26.6
151.53      3861.896       26.4
151.63      3865.052       26.1
151.72      3868.931       25.6
151.83      3873.672       25.6
151.94      3878.413       26.1
152.04      3882.723       26.3
152.12      3886.171       26.5
152.19      3889.188       26.5
152.25      3891.290         27
152.32      3893.704       26.7
152.4       3896.461       26.4
152.52      3900.598       26.3
152.59      3903.011       26.5
152.67      3905.769       26.7
152.69      3906.458       26.5
152.77      3909.216       26.5
152.79      3909.906       26.6
152.87      3912.659       26.1
152.95      3915.412       26.1
153.02      3917.821       25.9
153.1       3920.574       25.7
153.19      3923.671       26.7
153.31      3927.801       26.9
153.44      3932.169       26.7
153.56      3936.047       26.9
153.68      3939.926       26.6
153.78      3943.159       26.3
153.87      3946.068       26.3
153.96      3948.977       26.5
154.05      3951.886       26.5
154.13      3954.472       26.5
154.23      3957.412       26.2
154.34      3960.254       26.2
154.45      3962.756       26.4
154.59      3965.653       26.4
154.74      3968.757       26.3
154.89      3971.861       26.2
155.07      3975.586       26.1
155.22      3978.690         26
155.35      3981.380       25.6
155.45      3983.814       25.5
155.55      3986.397       25.4
155.64      3988.725       25.3
155.73      3991.054       25.4
155.81      3992.782       25.4
155.91      3994.333       25.7
156.02      3996.038       25.7
156.13      3997.744       25.5
156.23      3999.295       25.7
156.34      4001.001       25.9
156.44      4002.551       25.6
156.53      4003.947       25.8
156.62      4005.343       26.2
156.72      4006.894       26.3
156.82      4009.352       26.6
156.92      4012.793       26.5
157.02      4016.235       26.1
157.13      4020.020       25.9
157.23      4023.462       26.1
157.33      4026.903       26.3
157.43      4030.349       26.3
157.53      4033.798       26.3
157.63      4037.247       26.1
157.73      4040.696         26
157.83      4044.145         26
157.93      4047.594       26.3
158.03      4051.042       25.9
158.13      4054.489       26.3
158.23      4057.936       26.5
158.33      4061.383       26.7
158.42      4064.486       26.5
158.52      4067.933       26.5
158.62      4071.380       26.3
158.72      4074.828       26.5
158.81      4077.930       26.4
158.91      4081.377       26.6
159         4084.480       26.6
159.1       4087.927       26.4
159.21      4092.142       26.2
159.32      4096.883       26.3
159.43      4101.624       26.8
159.54      4106.364         27
159.64      4110.674         27
159.74      4114.984       26.5
159.82      4118.432       26.3
159.9       4121.880       26.5
159.98      4125.328       26.7
160.04      4127.914       26.9
160.11      4130.931       26.7
160.18      4133.948       26.4
160.25      4136.965       26.6
160.33      4140.413       26.7
160.41      4143.860       26.6
160.5       4147.737       26.4
160.6       4152.045       26.3
160.71      4156.784       26.3
160.83      4161.954       26.7
160.96      4167.417       26.8
161.09      4170.781         27
161.23      4174.910       26.9
161.36      4179.107       26.7
161.49      4183.304       26.5
161.58      4186.210       26.6
161.67      4189.115       26.8
161.73      4191.052         27
161.79      4192.989       26.6
161.84      4194.603       26.4
161.89      4196.218       26.2
161.96      4198.323       26.6
161.99      4198.904       26.5
162.03      4199.680       26.9
162.09      4200.843       26.7
162.16      4202.199       27.1
162.19      4202.781         27
162.29      4204.719       26.9
162.39      4206.658       26.5
162.49      4208.596       26.3
162.6       4210.729       26.4
162.7       4212.667       26.7
162.79      4214.313       27.2
162.87      4215.692       27.2
162.95      4217.071       27.1
163.03      4218.450         27
163.11      4219.828       26.9
163.22      4221.724       26.6
163.33      4223.620       26.7
163.44      4225.858       26.6
163.54      4227.926       26.7
163.63      4229.788       27.3
163.64      4229.994       27.1
163.82      4233.717       27.1
163.92      4235.786         27
164.02      4237.854       26.9
164.13      4240.129       27.2
164.15      4240.543       27.2
164.24      4242.404       27.3
164.25      4242.611       26.5
164.34      4244.468       27.2
164.35      4244.662       27.2
164.44      4246.407       27.2
164.45      4246.601       27.2
164.53      4248.153       27.4
164.55      4248.541       27.4
164.63      4250.093       27.5
164.65      4250.481       27.5
164.73      4252.032       27.4
164.75      4252.420       27.5
164.83      4253.972       27.5
164.91      4255.524       27.5
164.93      4255.912       27.6
165.03      4257.852       27.5
165.13      4259.791       27.5
165.23      4264.872       27.7
165.24      4265.387       27.6
165.33      4270.017       27.6
165.43      4275.187       27.7
165.53      4280.358       27.5
165.63      4286.810       27.4
165.73      4293.275       27.3
165.83      4299.740       27.4
165.93      4306.183       27.5
166.03      4310.493       27.7
166.13      4314.803       27.7
166.23      4319.113       27.6
166.33      4323.423       27.4
166.43      4327.733       27.4
166.53      4332.025       27.5
166.62      4335.514       27.6
166.73      4339.779       27.3
166.83      4343.656       26.9
166.93      4347.533       27.2
167.03      4351.412       27.4
167.13      4355.292       27.4
167.23      4359.171       27.4
167.33      4362.999       27.1
167.43      4366.231         27
167.53      4369.463         27
167.63      4372.696         27
167.73      4375.928       27.1
167.83      4379.161       27.3
167.93      4382.393       27.4
168.03      4385.625       27.4
168.13      4388.780       27.4
168.23      4391.363       27.3
168.33      4393.946       27.4
168.43      4396.534       27.2
168.54      4399.381       27.1
168.64      4401.969       26.8
168.73      4404.297       26.8
168.83      4406.880       26.8
168.92      4409.205       26.9
169.02      4411.793         27
169.13      4414.749       27.1
169.23      4417.976       27.1
169.33      4421.203       26.9
169.43      4424.430         27
169.53      4427.657       27.1
169.63      4430.884         27
169.73      4434.111       26.8
169.83      4437.338       26.7
169.93      4440.334         26
170.03      4442.403       26.4
170.13      4444.473       26.6
170.23      4446.542       26.6
170.33      4448.611       26.7
170.44      4450.888       26.6
170.54      4452.957       26.4
170.64      4455.026       26.2
170.73      4456.889       26.2
170.83      4458.958       26.1
170.93      4461.156         26
171.04      4463.997       25.9
171.14      4466.582       25.9
171.24      4469.170       25.7
171.33      4471.497       25.8
171.43      4474.080       25.9
171.52      4476.522       26.3
171.62      4479.754       26.5
171.72      4482.987       26.6
171.83      4486.542       26.9
171.93      4489.775       26.7
172.03      4493.007       26.7
172.13      4496.240       26.3
172.23      4499.472       26.3
172.33      4502.497       26.2
172.43      4505.079       26.2
172.53      4507.875         26
172.63      4511.104       25.9
172.74      4514.655       25.7
172.85      4518.206       25.4
172.97      4522.080       25.3
173.08      4525.631         25
173.17      4528.537       24.9
173.24      4530.797       25.1
173.34      4533.730       24.6
173.44      4536.318       24.8
173.54      4538.904         25
173.64      4541.487       25.4
173.65      4541.745       26.2
173.74      4544.072       25.7
173.78      4545.107       25.9
173.84      4546.660       26.1
173.93      4548.987       25.9
173.98      4550.279       25.9
174.01      4551.054         26
174.08      4552.862       26.3
174.09      4553.120       26.1
174.19      4555.708       26.3
174.34      4559.590       26.2
174.35      4559.849       26.2
174.36      4560.107       26.2
174.44      4562.178       26.4
174.45      4562.437       26.2
174.53      4564.144       26.2
174.55      4564.489       26.2
174.62      4565.695       26.2
174.65      4566.212       26.2
174.71      4567.246       25.9
174.75      4567.936       25.9
174.8       4568.798       25.9
174.85      4569.659       25.7
174.86      4569.832       25.6
174.95      4571.383       25.7
174.96      4571.555       25.7
175.05      4573.107       25.8
175.1       4573.943       25.9
175.13      4574.408         26
175.2       4575.493       26.4
175.29      4576.889       26.5
175.41      4578.750       26.5
175.57      4581.231       26.2
175.7       4583.247       26.3
175.8       4584.798       26.1
175.88      4586.038       26.4
175.99      4587.744       26.5
176.17      4590.537       26.7
176.35      4593.330       26.6
176.52      4595.968       26.6
176.63      4597.675       26.7
176.74      4599.382       26.7
176.85      4601.089       26.7
176.95      4602.640       26.3
177.04      4604.037       25.8
177.13      4605.716       25.7
177.23      4607.783       25.6
177.33      4609.849       25.7
177.42      4611.709         26
177.52      4613.775         26
177.62      4615.841       26.1
177.72      4617.907       26.2
177.83      4620.180       26.2
177.93      4622.247       26.3
178.03      4624.313       26.3
178.13      4626.380       26.3
178.23      4628.449       26.1
178.32      4630.310       26.6
178.42      4632.379       26.3
178.52      4634.447       26.3
178.62      4636.515       26.2
178.72      4638.584       26.5
178.82      4640.652       26.5
178.93      4642.927       26.9
179.03      4644.995       26.8
179.13      4647.396       26.7
179.24      4650.243       26.1
179.34      4652.441       26.3
179.44      4654.510       26.4
179.54      4656.578       26.4
179.62      4658.233       26.2
179.71      4660.094       26.4
179.8       4661.956       26.4
179.9       4664.024       26.9
180.02      4666.506       26.7
180.15      4669.195       26.7
180.32      4673.023       26.2
180.59      4680.004       25.9
180.83      4685.092       25.8
180.93      4687.029       25.7
180.98      4687.998       25.8
181.03      4688.967         26
181.09      4690.129       25.9
181.16      4691.485         26
181.26      4693.422       26.1
181.36      4695.360       26.1
181.45      4697.103         26
181.5       4697.898         26
181.56      4698.828       25.9
181.59      4699.294       26.2
181.64      4700.069       26.3
181.69      4700.844       26.3
181.84      4703.170       26.4
182.17      4708.288       26.2
182.32      4710.614       26.7
182.41      4712.010       26.7
182.49      4713.320       26.4
182.58      4714.873       26.6
182.73      4717.461       26.7
182.86      4719.704       26.8
182.95      4721.256       26.6
183.02      4722.464       26.2
183.06      4723.154       26.5
183.12      4724.188         26
183.18      4725.222         26
183.32      4727.635       25.9
183.59      4732.289         26
183.7       4734.306       26.1
183.77      4735.662       26.3
183.82      4736.632       26.7
183.88      4737.795       26.7
183.99      4739.927       26.7
184         4740.121       26.8
184.1       4742.059       26.7
184.22      4744.385       26.7
184.22      4744.385       26.7
184.33      4746.518       26.8
184.35      4746.905       26.8
184.39      4747.681       26.6
184.44      4748.650       26.7
184.45      4748.909       27.1
184.46      4749.168       26.6
184.56      4751.756       26.8
184.65      4754.027         27
184.73      4755.680       26.8
184.81      4757.333       26.9
184.88      4758.780       27.1
184.98      4760.846       26.9
185.08      4762.912       26.7
185.2       4765.392       26.5
185.3       4767.458       26.2
185.4       4769.524       26.1
185.66      4774.897       26.3
185.76      4776.965       26.2
185.86      4779.034       26.4
185.96      4781.102       26.4
186.06      4783.170       26.3
186.16      4785.239       26.3
186.26      4787.307       26.1
186.35      4789.169       26.3
186.44      4791.030       26.4
186.5       4792.271       26.3
186.58      4793.926       26.5
186.67      4796.339       26.5
186.79      4800.476       26.5
186.95      4805.991       25.9
187.13      4812.196       25.6
187.23      4815.602       25.6
187.3       4817.051       25.7
187.34      4817.878       25.7
187.39      4818.913       25.8
187.42      4819.534       25.9
187.46      4820.362       26.1
187.5       4821.189       26.1
187.55      4822.224       26.5
187.63      4823.879       26.6
187.8       4827.397       26.4
187.9       4829.467       26.3
188.32      4839.929       26.4
188.39      4842.643       26.1
188.45      4844.969       25.9
188.51      4847.295       25.4
188.56      4849.234       25.2
188.63      4851.754       25.1
188.74      4853.885       25.2
188.9       4856.984       25.5
189.01      4859.115       25.6
189.08      4860.471       25.6
189.11      4861.053       25.9
189.15      4861.828       25.9
189.17      4862.215         26
189.2       4862.796       25.8
189.22      4863.184       25.9
189.23      4863.377       25.9
189.3       4864.733         26
189.35      4865.702       25.9
189.4       4866.671       26.1
189.45      4867.852       26.1
189.5       4869.144       26.2
189.53      4869.919         26
189.6       4871.727       26.2
189.62      4872.244       26.2
189.71      4874.573         26
189.82      4877.419       26.4
189.93      4880.266       26.4
190.04      4882.944       26.2
190.14      4884.882       25.6
190.24      4886.821       25.5
190.33      4888.565       24.6
190.44      4890.698       24.8
190.54      4892.636       24.8
190.65      4894.768       24.8
190.75      4896.707       24.9
190.83      4898.258       25.2
190.92      4900.004       25.5
191.02      4901.943       25.6
191.12      4903.883       25.7
191.22      4905.823       25.9
191.33      4907.956       25.9
191.43      4909.896       25.9
191.53      4911.836         26
191.62      4913.600         26
191.73      4915.875       25.9
191.83      4917.943       25.8
191.94      4920.218       25.6
192.03      4922.080       25.9
192.13      4924.148       25.9
192.22      4926.010       26.2
192.32      4928.078       26.1
192.42      4930.146       26.1
192.53      4932.421       25.9
192.65      4935.158       25.8
192.75      4937.746       25.7
192.84      4940.073       25.6
192.93      4942.398       25.8
193.02      4944.721       25.9
193.12      4947.296       26.1
193.22      4949.872       26.1
193.33      4952.714       26.4
193.43      4955.504       26.4
193.52      4958.414       26.5
